parent_global_id,date,year,monitor_names,vernal_pool,transect_name_number,vernal_pool_axis,project_site,total_transect_length,transect_start_time,transect_finish_time,transect_notes,transect_distance_of_quadrat,side_of_transect_left_or_right,vernal_pool_zone,quadrat_notes_optional,percent_bare_ground,percent_natural_thatch,percent_mowed_trimmed_thatch,thatch_notes_optional,count_of_native_species,sum_of_native_cover,count_of_non_native_species,sum_of_non_native_cover,count_of_unknown_species,sum_of_unknown_cover,sum_of_thatch,sum_of_other_cover,bare_ground,sum_of_all_cover,x,y
98198b5e-0212-468e-a836-0bb08c15ddad,2021-06-22,2021,"Ethan A., Lauren W.",yes,VP-14,major,north_parcel,28,10:34:00,NA,NA,10,Right,NA,NA,4,85,0,NA,1,37,0,0,0,0,85,0,4,126,-119.881834,34.4227458
29a1e045-9758-4442-b858-31426225e413,2021-06-22,2021,"Ethan A., Lauren W.",yes,VP-14,major,north_parcel,28,10:34:00,NA,NA,10,Right,NA,NA,4,85,0,NA,1,37,0,0,0,0,85,0,4,126,-119.881834,34.4227458
724dd2eb-d85b-4f34-b098-5541873fd45c,2021-06-23,2021,Lauren W. and Wayne,no,Wetland-05,NA,north_parcel,28,09:11:00,NA,NA,4,Left,NA,NA,1,60,0,NA,6,115,3,8,0,0,60,0,1,184,-119.8794397,34.4220567
d90affea-4447-4473-8b50-e39c5fd95bac,2021-06-23,2021,Lauren W. and Wayne,no,Wetland-05,NA,north_parcel,28,09:11:00,NA,NA,4,Right,NA,NA,12,40,0,NA,6,44,2,13,0,0,40,0,12,109,-119.8793827,34.4220661
1ff08ef5-9e93-4fd8-b6ed-a28552935b4f,2022-06-14,2022,"Ethan A, Wayne",no,Upland-01,NA,north_parcel,40,14:29:00,NA,NA,24,Left,NA,NA,2,80,0,NA,2,3,7,25,1,1,80,0,2,111,-119.8831813,34.42367271
462dad07-ee62-40aa-86fd-7ca4ddd7778b,2022-06-14,2022,"Ethan A, Wayne",no,Upland-01,NA,north_parcel,40,14:29:00,NA,NA,24,Left,NA,NA,2,80,0,NA,2,3,7,25,1,1,80,0,2,111,-119.8831813,34.42367271
f138d248-3626-4dcc-a7a8-2e708439c72c,2022-06-14,2022,"Ethan A, Wayne",no,Upland-01,NA,north_parcel,40,14:29:00,NA,NA,30,Right,NA,NA,0,55,20,NA,3,68,3,7,0,0,75,0,0,150,-119.88323412,34.42369117
f7e4b6a8-d9eb-416d-994c-b12f2b594dcc,2022-06-14,2022,"Ethan A, Wayne",no,Upland-01,NA,north_parcel,40,14:29:00,NA,NA,30,Right,NA,NA,0,55,20,NA,3,68,3,7,0,0,75,0,0,150,-119.88323412,34.42369117
d749f6a1-8f3b-45cc-899a-e4d7970f1d27,2022-06-13,2022,"Ethan A., Wayne C.",yes,VP-08,major,north_parcel,32,13:23:00,NA,NA,24,Left,bottom,NA,3,4,0,NA,5,128,3,8,0,0,4,0,3,143,-119.882968684473,34.4236854804157
6b503c67-927b-4815-b3a7-d389d2c1c132,2022-06-13,2022,"Ethan A., Wayne C.",yes,VP-08,major,north_parcel,32,13:23:00,NA,NA,24,Right,bottom,NA,4,6,0,NA,6,91,2,10,0,0,6,0,4,111,-119.882948851332,34.4236809580499
6193c70e-c930-4ee9-9e06-fe0824ea8e9e,2022-06-01,2022,"Ethan A., Wayne C.",yes,VP-14,major,north_parcel,14,13:44:00,NA,NA,14,Right,edge,NA,10,0,0,NA,3,3,9,81,0,0,0,6,10,100,-119.883768856765,34.4228755038554
a7015dbe-aa05-41fe-aa73-a4b789b0bf04,2022-06-06,2022,"Ethan A., Ada",yes,VP-14,major,north_parcel,28,13:44:00,NA,NA,14,Right,bottom,NA,19,50,0,NA,7,77,3,8,0,0,50,0,19,154,-119.881821468343,34.4227599636163
0d6b90de-6724-47a2-a93a-e6627124df71,2023-07-18,2023,Ethan A,no,Upland-01,NA,north_parcel,40,09:14:00,NA,NA,28,Left,NA,NA,3,0,80,NA,2,7,3,14,0,0,80,0,3,104,-119.862204039625,34.4144144144144
2a73f2e1-1266-45bd-880b-2488ec445ea4,2023-07-18,2023,Ethan A,no,Upland-01,NA,north_parcel,40,09:14:00,NA,NA,28,Left,NA,NA,3,0,80,NA,2,7,3,14,0,0,80,0,3,104,-119.862204039625,34.4144144144144
b16e73c4-ba65-46ae-81ec-3ce7f851dede,2023-06-27,2023,"Ethan A, Hannah B",yes,VP-07,major,north_parcel,NA,13:33:00,NA,NA,0,Left,edge,NA,1,1,0,NA,6,60,4,44,0,0,1,0,1,106,-119.883081666667,34.4239766666667
92e32571-3f7e-4099-97b2-435e65b29384,2023-06-27,2023,Wayne chapman hannah burdick,yes,VP-07,major,north_parcel,32,09:35:00,NA,NA,0,Left,edge,NA,0,10,0,NA,8,104,8,73,0,0,10,0,0,187,0,0
9bafd27c-8c5c-4615-b6f5-71db2908fb95,2023-08-17,2023,Ethan A,no,Wetland-03,NA,north_parcel,30,14:29:00,NA,NA,15,Right,NA,NA,0,0,0,NA,4,120,2,2,0,0,0,25,0,147,-119.884044820244,34.4144144144144
476e663a-a569-47cd-a6e2-321a3de6fc65,2023-08-17,2023,Ethan A,no,Wetland-03,NA,north_parcel,30,14:29:00,NA,NA,15,Left,NA,NA,1,0,0,NA,3,122,2,6,0,0,0,3,1,132,-119.884044820244,34.4144144144144
682e6373-ab83-4d73-8d1a-5e059df2cdc5,2025-09-17,2025,"Camryn Takahashi, Madi Jochum",no,Bioswale-01,NA,north_parcel,18,11:26:00,NA,NA,0,Left,NA,NA,8,3,0,NA,3,82,6,31,0,0,3,0,8,124,-119.880682133776,34.4226588968022
bea7b8f0-b101-47d8-8b41-2f0bae7004ea,2025-09-23,2025,"Camryn, Garrett",no,Bioswale-01,NA,north_parcel,40,11:38:00,NA,NA,0,Left,NA,NA,0,15,0,NA,4,64,7,31,0,0,15,0,0,110,-119.88110959,34.42270122
1f61fa0a-2f4b-4377-b73d-8e0ba00eea33,2025-09-15,2025,"Camryn takahashi, madison jochum",no,Upland-01,NA,north_parcel,40,NA,NA,NA,16,Left,NA,NA,2,82,0,NA,6,15,6,29,0,0,82,0,2,128,-119.883125712975,34.423637386202
2bc94368-23fa-4dcb-9ca6-17fa4ea3e572,2025-09-15,2025,"Camryn takahashi, madison jochum",no,Upland-01,NA,north_parcel,40,NA,NA,NA,16,Left,NA,NA,2,82,0,NA,6,19,5,26,0,0,82,0,2,129,-119.883121693159,34.4236514521288
53539a8a-4e24-4434-8e54-a34dcc295e72,2025-09-15,2025,Ethan A,no,Upland-01,NA,north_parcel,40,NA,16:37:00,NA,34,Left,NA,NA,1,6,0,NA,4,13,5,90,0,0,6,0,1,110,-119.883276666667,34.42371
b040e86c-e1de-487b-aa9e-e2e284ded46f,2025-09-15,2025,"Camryn takahashi, madison jochum",no,Upland-01,NA,north_parcel,40,NA,NA,NA,34,Right,NA,NA,1,25,0,NA,4,0,6,77,0,0,25,0,1,103,-119.88332602954,34.423696561819
d0a14198-498c-40a7-93ef-24ed69d664b8,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Right,transition,NA,0,93,0,NA,4,139,2,2,0,0,93,0,0,234,-119.881580968538,34.4224669347325
71492462-24c6-49d6-9d20-ff85e5397b2b,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Right,bottom,NA,0,25,0,NA,3,85,1,3,0,0,25,80,0,193,-119.881674095263,34.4224847867951
7cf84a85-d4ef-43bf-9398-ee1300274768,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Left,bottom,NA,0,25,0,NA,4,107,1,2,0,0,25,80,0,214,-119.881685265661,34.422505735426
cc233eba-2e56-4c7e-a51c-930e11519111,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Right,bottom,NA,0,70,0,NA,4,108,0,0,0,0,70,20,0,198,-119.881694436545,34.4224998623077
9e2f7075-aaa5-4e03-8819-5b67bf322cf0,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Left,bottom,NA,0,75,0,NA,2,95,0,0,0,0,75,8,0,178,-119.881716745307,34.4225154559123
f96c04ea-0afe-4e59-9ac9-a0261c4f886a,2025-08-19,2025,"Amber Nguyen, KaitlynPorterfirld, Madi Jochum, Wayne Chapman",yes,VP-016,major,north_parcel,26,NA,NA,NA,2,Right,bottom,NA,0,80,0,NA,2,93,0,0,0,0,80,50,0,223,-119.881732754887,34.4225147711117
